AD,ED,borough_code,borough,ed_uid,neighborhood
79,006,BX,Bronx,BX-AD79-ED006,East Tremont
79,007,BX,Bronx,BX-AD79-ED007,Melrose
79,008,BX,Bronx,BX-AD79-ED008,Claremont
79,009,BX,Bronx,BX-AD79-ED009,Claremont
79,010,BX,Bronx,BX-AD79-ED010,Claremont
79,011,BX,Bronx,BX-AD79-ED011,Claremont
79,012,BX,Bronx,BX-AD79-ED012,Claremont
79,013,BX,Bronx,BX-AD79-ED013,Claremont
79,014,BX,Bronx,BX-AD79-ED014,Claremont
79,015,BX,Bronx,BX-AD79-ED015,Claremont
79,016,BX,Bronx,BX-AD79-ED016,Morrisania
79,017,BX,Bronx,BX-AD79-ED017,Claremont
79,018,BX,Bronx,BX-AD79-ED018,Claremont
79,019,BX,Bronx,BX-AD79-ED019,Crotona Park East
79,020,BX,Bronx,BX-AD79-ED020,Morrisania
79,021,BX,Bronx,BX-AD79-ED021,Crotona Park East
79,022,BX,Bronx,BX-AD79-ED022,Crotona Park East
79,023,BX,Bronx,BX-AD79-ED023,Crotona Park East
79,024,BX,Bronx,BX-AD79-ED024,Crotona Park East
79,025,BX,Bronx,BX-AD79-ED025,Crotona Park East
79,026,BX,Bronx,BX-AD79-ED026,Crotona Park East
79,027,BX,Bronx,BX-AD79-ED027,Crotona Park East
79,028,BX,Bronx,BX-AD79-ED028,Crotona Park East
79,029,BX,Bronx,BX-AD79-ED029,Morrisania
79,030,BX,Bronx,BX-AD79-ED030,Morrisania
79,031,BX,Bronx,BX-AD79-ED031,Morrisania
79,032,BX,Bronx,BX-AD79-ED032,Longwood
79,033,BX,Bronx,BX-AD79-ED033,Morrisania
79,034,BX,Bronx,BX-AD79-ED034,Morrisania
79,035,BX,Bronx,BX-AD79-ED035,Claremont
79,036,BX,Bronx,BX-AD79-ED036,Morrisania
79,037,BX,Bronx,BX-AD79-ED037,Morrisania
79,038,BX,Bronx,BX-AD79-ED038,Morrisania
79,039,BX,Bronx,BX-AD79-ED039,Morrisania
79,040,BX,Bronx,BX-AD79-ED040,Longwood
79,041,BX,Bronx,BX-AD79-ED041,Morrisania
79,042,BX,Bronx,BX-AD79-ED042,Concourse
79,043,BX,Bronx,BX-AD79-ED043,Concourse
79,044,BX,Bronx,BX-AD79-ED044,Concourse
79,045,BX,Bronx,BX-AD79-ED045,Melrose
79,046,BX,Bronx,BX-AD79-ED046,Melrose
79,047,BX,Bronx,BX-AD79-ED047,Melrose
79,048,BX,Bronx,BX-AD79-ED048,Morrisania
79,049,BX,Bronx,BX-AD79-ED049,Melrose
79,050,BX,Bronx,BX-AD79-ED050,Melrose
79,051,BX,Bronx,BX-AD79-ED051,Melrose
79,052,BX,Bronx,BX-AD79-ED052,Melrose
79,053,BX,Bronx,BX-AD79-ED053,Concourse
79,054,BX,Bronx,BX-AD79-ED054,Concourse
79,055,BX,Bronx,BX-AD79-ED055,Concourse
79,056,BX,Bronx,BX-AD79-ED056,Concourse
79,057,BX,Bronx,BX-AD79-ED057,East Tremont
80,001,BX,Bronx,BX-AD80-ED001,Van Nest
80,002,BX,Bronx,BX-AD80-ED002,Van Nest
80,003,BX,Bronx,BX-AD80-ED003,Norwood
80,004,BX,Bronx,BX-AD80-ED004,Pelham Parkway
80,005,BX,Bronx,BX-AD80-ED005,Van Nest
80,006,BX,Bronx,BX-AD80-ED006,Van Nest
80,007,BX,Bronx,BX-AD80-ED007,Pelham Parkway
80,008,BX,Bronx,BX-AD80-ED008,Norwood
80,009,BX,Bronx,BX-AD80-ED009,Van Nest
80,010,BX,Bronx,BX-AD80-ED010,Morris Park
80,011,BX,Bronx,BX-AD80-ED011,Pelham Parkway
80,012,BX,Bronx,BX-AD80-ED012,Van Nest
80,013,BX,Bronx,BX-AD80-ED013,Williamsbridge
80,014,BX,Bronx,BX-AD80-ED014,Van Nest
80,015,BX,Bronx,BX-AD80-ED015,Pelham Parkway
80,016,BX,Bronx,BX-AD80-ED016,Pelham Parkway
80,017,BX,Bronx,BX-AD80-ED017,Pelham Parkway
80,018,BX,Bronx,BX-AD80-ED018,Pelham Parkway
80,019,BX,Bronx,BX-AD80-ED019,Morris Park
80,020,BX,Bronx,BX-AD80-ED020,Morris Park
80,021,BX,Bronx,BX-AD80-ED021,Pelham Gardens
80,022,BX,Bronx,BX-AD80-ED022,Baychester
80,023,BX,Bronx,BX-AD80-ED023,Pelham Gardens
80,024,BX,Bronx,BX-AD80-ED024,Pelham Gardens
80,025,BX,Bronx,BX-AD80-ED025,Norwood
80,026,BX,Bronx,BX-AD80-ED026,Pelham Gardens
80,027,BX,Bronx,BX-AD80-ED027,Pelham Gardens
80,028,BX,Bronx,BX-AD80-ED028,Norwood
80,029,BX,Bronx,BX-AD80-ED029,Allerton
80,030,BX,Bronx,BX-AD80-ED030,Allerton
80,031,BX,Bronx,BX-AD80-ED031,Allerton
80,032,BX,Bronx,BX-AD80-ED032,Van Nest
80,033,BX,Bronx,BX-AD80-ED033,Pelham Parkway
80,034,BX,Bronx,BX-AD80-ED034,Longwood
80,035,BX,Bronx,BX-AD80-ED035,Williamsbridge
80,036,BX,Bronx,BX-AD80-ED036,Williamsbridge
80,037,BX,Bronx,BX-AD80-ED037,Allerton
80,038,BX,Bronx,BX-AD80-ED038,Allerton
80,039,BX,Bronx,BX-AD80-ED039,Norwood
80,040,BX,Bronx,BX-AD80-ED040,Bedford Park
80,041,BX,Bronx,BX-AD80-ED041,Pelham Parkway
80,042,BX,Bronx,BX-AD80-ED042,Pelham Gardens
80,043,BX,Bronx,BX-AD80-ED043,Pelham Parkway
80,044,BX,Bronx,BX-AD80-ED044,Pelham Parkway
80,045,BX,Bronx,BX-AD80-ED045,Pelham Parkway
80,046,BX,Bronx,BX-AD80-ED046,Norwood
80,047,BX,Bronx,BX-AD80-ED047,Pelham Parkway
80,048,BX,Bronx,BX-AD80-ED048,Pelham Parkway
80,049,BX,Bronx,BX-AD80-ED049,Allerton
80,050,BX,Bronx,BX-AD80-ED050,Allerton
80,051,BX,Bronx,BX-AD80-ED051,Allerton
80,052,BX,Bronx,BX-AD80-ED052,Bronx Park East
80,053,BX,Bronx,BX-AD80-ED053,Norwood
80,054,BX,Bronx,BX-AD80-ED054,Norwood
80,055,BX,Bronx,BX-AD80-ED055,Norwood
80,056,BX,Bronx,BX-AD80-ED056,Norwood
80,057,BX,Bronx,BX-AD80-ED057,Norwood
80,058,BX,Bronx,BX-AD80-ED058,Bronx
80,059,BX,Bronx,BX-AD80-ED059,Bronx
80,060,BX,Bronx,BX-AD80-ED060,Bronx
80,061,BX,Bronx,BX-AD80-ED061,Bronx
81,001,BX,Bronx,BX-AD81-ED001,Kingsbridge
81,002,BX,Bronx,BX-AD81-ED002,Kingsbridge
81,003,BX,Bronx,BX-AD81-ED003,Kingsbridge
81,004,BX,Bronx,BX-AD81-ED004,Kingsbridge
81,005,BX,Bronx,BX-AD81-ED005,Kingsbridge
81,006,BX,Bronx,BX-AD81-ED006,Kingsbridge
81,007,BX,Bronx,BX-AD81-ED007,Kingsbridge
81,008,BX,Bronx,BX-AD81-ED008,Kingsbridge
81,009,BX,Bronx,BX-AD81-ED009,Kingsbridge
