ED,AD,borough,neighborhood,ev25_total,ev_rate,ev_weight,ev_party_dem,ev_party_rep,ev_party_oth
38,72,MN,Washington Heights,247,0.14,0.0003373197149033859,0.6477732793522267,0.15789473684210525,0.008097165991902834
48,27,QN,Whitestone,224,0.14,0.00030590937707837426,0.4375,0.33035714285714285,0.04017857142857143
25,86,BX,University Heights,27,0.03,3.687300527283975e-05,0.8888888888888888,0.0,0.0
24,25,QN,Oakland Gardens,165,0.14,0.0002253350322229096,0.5515151515151515,0.22424242424242424,0.030303030303030304
50,37,QN,Ridgewood,179,0.11,0.000244454368290308,0.5251396648044693,0.2737430167597765,0.01675977653631285
85,64,BK,Fort Hamilton,205,0.19,0.00027996170670119074,0.5804878048780487,0.22926829268292684,0.02926829268292683
31,70,MN,Morningside Heights,286,0.19,0.00039058072251971,0.9055944055944056,0.017482517482517484,0.006993006993006993
1,27,QN,Whitestone,148,0.21,0.00020211869556964013,0.39864864864864863,0.31756756756756754,0.0
24,67,MN,Upper West Side,375,0.24,0.0005121250732338854,0.848,0.042666666666666665,0.010666666666666666
52,36,QN,Long Island City,73,0.15,9.969368092286304e-05,0.7534246575342466,0.0684931506849315,0.0136986301369863
42,46,BK,Sea Gate,41,0.03,5.599234134023815e-05,0.8048780487804879,0.07317073170731707,0.0
12,65,MN,Chinatown,145,0.11,0.00019802169498376904,0.7586206896551724,0.10344827586206896,0.006896551724137931
61,69,MN,Upper West Side,202,0.2,0.00027586470611531966,0.8613861386138614,0.054455445544554455,0.009900990099009901
33,24,QN,Fresh Meadows,8,0.16,1.0925334895656223e-05,0.5,0.25,0.0
21,40,QN,Flushing,107,0.06,0.000146126354229402,0.7009345794392523,0.1308411214953271,0.037383177570093455
66,41,BK,Gerritsen Beach,192,0.18,0.00026220803749574934,0.375,0.3229166666666667,0.020833333333333332
22,26,QN,Douglaston,252,0.14,0.00034414804921317104,0.5396825396825397,0.24206349206349206,0.023809523809523808
9,62,SI,Pleasant Plains,435,0.25,0.0005940650849513071,0.22528735632183908,0.5724137931034483,0.020689655172413793
62,54,BK,East New York,7,0.02,9.559668033699196e-06,0.8571428571428571,0.0,0.0
8,40,QN,Flushing,98,0.05,0.00013383535247178874,0.5204081632653061,0.20408163265306123,0.02040816326530612
45,81,BX,Woodlawn,80,0.06,0.00010925334895656223,0.8,0.1,0.0
23,53,BK,Bushwick,145,0.11,0.00019802169498376904,0.8620689655172413,0.020689655172413793,0.0
4,27,QN,Forest Hills,320,0.2,0.00043701339582624893,0.684375,0.103125,0.015625
38,80,BX,Allerton,68,0.05,9.286534661307789e-05,0.9264705882352942,0.058823529411764705,0.0
45,70,MN,Central Harlem,46,0.05,6.282067565002329e-05,0.8695652173913043,0.0,0.043478260869565216
3,27,QN,Forest Hills,245,0.15,0.00033458838117947186,0.7183673469387755,0.10204081632653061,0.012244897959183673
52,48,BK,Borough Park,142,0.15,0.00019392469439789796,0.6338028169014085,0.2323943661971831,0.0
36,39,QN,Corona,38,0.03,5.189534075436706e-05,0.6842105263157895,0.07894736842105263,0.0
42,27,QN,Whitestone,513,0.28,0.0007005871001839553,0.3333333333333333,0.45614035087719296,0.017543859649122806
1,41,BK,East Flatbush,234,0.14,0.00031956604569794453,0.8632478632478633,0.017094017094017096,0.021367521367521368
